R,UCCSD (kJ/mol),UB3LYP (kJ/mol),UHF (kJ/mol)
1.95,505.976136,525.6212117,667.3101829
1.96,508.6085476,529.3423953,672.1990183
1.97,511.1917093,533.0210905,677.0425122
1.98,513.7263886,536.6576674,681.8410425
1.99,516.2133483,540.2524962,686.5949885
2,518.6533461,543.8059577,691.3047281
2.01,521.0471345,547.3184325,695.9706398
2.02,523.3954602,550.7903039,700.5931012
2.03,525.6990637,554.2219553,705.1724887
2.04,527.9586795,557.6137752,709.7091775
2.05,530.1750354,560.966147,714.2035413
2.06,532.3488523,564.2794541,718.6559528
2.07,534.4808442,567.5540743,723.066782
2.08,536.5717179,570.7903833,727.4363978
2.09,538.6221726,573.9887538,731.7651662
2.1,540.6329002,577.1495508,736.0534517
2.11,542.6045846,580.2731392,740.3016164
2.12,544.5379022,583.3598761,744.51002
2.13,546.4335212,586.4101212,748.6790202
2.14,548.2921018,589.4242315,752.8089715
2.15,550.114296,592.4025641,756.9002269
2.16,551.9007477,595.3454761,760.9531366
2.17,553.6520926,598.2533299,764.9680488
2.18,555.3689578,601.1264824,768.9453087
2.19,557.0519623,603.965296,772.8852592
2.2,558.7017165,606.7701356,776.7882411
2.21,560.3188226,609.5413583,780.654593
2.22,561.9038741,612.2793238,784.4846509
2.23,563.4574564,614.9843866,788.2787483
2.24,564.9801461,617.656901,792.0372166
2.25,566.4725117,620.2972137,795.7603854
2.26,567.9351131,622.9056607,799.4485809
2.27,569.3685019,625.4825781,803.1021285
2.28,570.7732214,628.0282967,806.7213504
2.29,572.1498065,630.543142,810.3065667
2.3,573.4987839,633.0274265,813.8580958
2.31,574.8206721,635.4814731,817.3762532
2.32,576.1159813,637.9055969,820.8613527
2.33,577.3852137,640.300105,824.3137062
2.34,578.6288634,642.6653205,827.7336224
2.35,579.8474165,645.0015531,831.1214088
2.36,581.0413512,647.3091204,834.4773702
2.37,582.2111379,649.5883429,837.801809
2.38,583.357239,651.8395356,841.095026
2.39,584.4801094,654.0630213,844.3573193
2.4,585.5801961,656.2591205,847.5889842
2.41,586.6579389,658.4281455,850.7903147
2.42,587.7137699,660.570414,853.9616019
2.43,588.7481137,662.6862359,857.1031346
2.44,589.7613877,664.7759183,860.2151991
2.45,590.7540021,666.8397658,863.2980792
2.46,591.7263599,668.8780724,866.3520566
2.47,592.6788571,670.8911322,869.3774104
2.48,593.6118825,672.8792314,872.3744169
2.49,594.5258183,674.8426562,875.34335
2.5,595.4210397,676.7816848,878.2844811
2.51,596.2979153,678.6966008,881.1980794
2.52,597.156807,680.58768,884.0844106
2.53,597.9980703,682.4551952,886.9437383
2.54,598.822054,684.2994223,889.7763237
2.55,599.6291009,686.1206395,892.5824251
2.56,600.4195473,687.9191172,895.3622978
2.57,601.1937233,689.6951286,898.1161949
2.58,601.9519531,691.4489492,900.8443665
2.59,602.6945549,693.1808469,903.5470605
2.6,603.4218407,694.8910921,906.2245214
2.61,604.1341171,696.57995,908.876992
2.62,604.8316847,698.2476857,911.5047112
2.63,605.5148385,699.8945592,914.1079167
2.64,606.1838682,701.5208226,916.686842
2.65,606.8390577,703.126733,919.2417194
2.66,607.4806858,704.7125348,921.7727777
2.67,608.1090258,706.278472,924.2802435
2.68,608.724346,707.8247837,926.7643405
2.69,609.3269094,709.3517086,929.2252906
2.7,609.9169741,710.8594753,931.6633128
2.71,610.4947933,712.34832,934.0786233
2.72,611.0606151,713.8184659,936.4714362
2.73,611.6146832,715.270144,938.8419636
2.74,612.1572361,716.7035828,941.1904144
2.75,612.6885082,718.1190001,943.5169959
2.76,613.208729,719.5166297,945.8219134
2.77,613.7181236,720.8966894,948.1053687
2.78,614.2169129,560.7029486,950.367563
2.79,614.7053133,561.0185599,952.6086939
2.8,615.1835371,561.327232,954.8289584
2.81,615.6517922,561.6291172,957.02855
2.82,616.1102828,561.9243599,959.2076614
2.83,616.5592087,562.2131071,961.3664827
2.84,616.998766,562.4955006,963.5052023
2.85,617.4291469,562.7716821,965.6240065
2.86,617.8505397,563.041783,967.7230803
2.87,618.2631291,563.3059398,969.8026065
2.88,618.6670961,563.5642785,971.862766
2.89,619.0626181,563.8169198,973.9037385
2.9,619.4498688,564.0639845,975.9257022
2.91,619.8290187,564.305583,977.9288326
2.92,620.2002347,564.5418255,979.913305
2.93,620.5636806,564.7728117,981.8792922
2.94,620.9195167,564.998644,983.8269661
2.95,621.2679002,565.2194197,985.7564967
2.96,621.608985,565.4352305,987.6680529
2.97,621.9429221,565.646171,989.5618021
2.98,622.2698594,565.8523279,991.4379101
2.99,622.5899417,566.0537982,993.2965417
3,622.9033111,566.250666,995.1378603
3.01,623.2101066,566.4430206,996.962028
3.02,623.5104646,566.6309565,998.7692053
3.03,623.8045186,566.8145577,1000.559552
3.04,624.0923995,566.9939214,1002.333227
3.05,624.3742353,567.1691341,1004.090387
3.06,624.6501518,567.3402878,1005.831189
3.07,624.9202719,567.507477,1007.555786
3.08,625.1847162,567.6707935,1009.264333
3.09,625.4436027,567.8303241,1010.956982
3.1,625.6970472,567.986158,1012.633885
3.11,625.9451628,568.1383819,1014.295193
3.12,626.1880607,568.2870718,1015.941055
3.13,626.4258496,568.4323118,1017.571618
3.14,626.6586359,568.5741754,1019.187031
3.15,626.886524,568.7127309,1020.787439
3.16,627.109616,568.8480492,1022.372987
3.17,627.3280121,568.9801958,1023.943819
3.18,627.5418104,569.1092313,1025.50008
3.19,627.7511067,569.2352159,1027.04191
3.2,627.9559953,569.3582074,1028.56945
3.21,628.1565682,569.4782584,1030.08284
3.22,628.3529156,569.5954265,1031.58222
3.23,628.5451259,569.7097618,1033.067727
3.24,628.7332857,569.8213166,1034.539498
3.25,628.9174797,569.930141,1035.997669
3.26,629.097791,570.0362847,1037.442375
3.27,629.2743007,570.1398055,1038.873749
3.28,629.4470887,570.2407481,1040.291925
3.29,629.6162327,570.3391728,1041.697034
3.3,629.7818093,570.4351296,1043.089206
3.31,629.9438932,570.5286787,1044.468572
3.32,630.1025575,570.6198781,1045.83526
3.33,630.2578741,570.7087854,1047.189399
3.34,630.4099132,570.7954531,1048.531114
3.35,630.5587436,570.8799417,1049.860531
3.36,630.7044325,570.962301,1051.177776
3.37,630.8470459,571.0425835,1052.482971
3.38,630.9866485,571.1208418,1053.776239
3.39,631.1233035,571.1971257,1055.057702
3.4,631.2570728,571.2714772,1056.32748
3.41,631.388017,571.3439436,1057.585692
3.42,631.5161955,571.414567,1058.832458
3.43,631.6416664,571.4833918,1060.067895
3.44,631.7644867,571.5504497,1061.292118
3.45,631.8847122,571.6157852,1062.505245
3.46,632.0023973,571.67943,1063.707388
3.47,632.1175956,571.7414207,1064.898661
3.48,632.2303594,571.8017888,1066.079177
3.49,632.3407399,571.8605632,1067.249046
3.5,632.4487872,571.9177781,1068.40838
3.51,632.5545506,571.9734597,1069.557288
3.52,632.6580781,572.0276421,1070.695876
3.53,632.7594167,572.080349,1071.824254
3.54,632.8586126,572.1316119,1072.942527
3.55,632.955711,572.1814649,1074.050801
3.56,633.050756,572.2299395,1075.149179
3.57,633.1437909,572.2770725,1076.237765
3.58,633.2348581,572.3228979,1077.316662
3.59,633.3239991,572.3674527,1078.38597
3.6,633.4112544,572.4107682,1079.445789
3.61,633.4966638,572.4528785,1080.49622
3.62,633.5802663,572.4938153,1081.537359
3.63,633.6620999,572.53361,1082.569306
3.64,633.742202,572.5722863,1083.592156
3.65,633.8206091,572.6098782,1084.606004
3.66,633.897357,572.646412,1085.610945
3.67,633.9724807,572.681914,1086.607073
3.68,634.0460145,572.7164104,1087.594479
3.69,634.1179919,572.7499249,1088.573257
3.7,634.1884457,572.7824838,1089.543496
3.71,634.2574082,572.8141132,1090.505286
3.72,634.3249109,572.8448289,1091.458717
3.73,634.3909845,572.8746572,1092.403876
3.74,634.4556592,572.9036191,1093.34085
3.75,634.5189647,572.9317355,1094.269725
3.76,634.5809298,572.9590224,1095.190587
3.77,634.6415828,572.9855005,1096.103521
3.78,634.7009514,573.0111884,1097.008609
3.79,634.7590629,573.0361018,1097.905934
3.8,634.8159437,573.0602616,1098.795579
3.81,634.8716198,573.0836837,1099.677624
3.82,634.9261168,573.1063838,1100.552149
3.83,634.9794596,573.1283855,1101.419234
3.84,635.0316725,573.1497124,1102.278957
3.85,635.0827794,573.1703935,1103.131396
3.86,635.1328038,573.1904549,1103.976627
3.87,635.1817685,573.2099204,1104.814727
3.88,635.2296959,573.2288108,1105.64577
3.89,635.2766079,573.2471473,1106.469832
3.9,635.3225261,573.2649456,1107.286986
3.91,635.3674714,573.2822214,1108.097304
3.92,635.4114645,573.2989852,1108.90086
3.93,635.4545254,573.3152554,1109.697723
3.94,635.4966739,573.3310399,1110.487965
3.95,635.5379293,573.3463492,1111.271656
3.96,635.5783106,573.3611964,1112.048865
3.97,635.6178361,573.3755868,1112.819659
3.98,635.6565239,573.3895308,1113.584107
3.99,635.694392,573.4030364,1114.342276
4,635.7314574,573.416114,1115.094231
4.01,635.7677374,573.4287689,1115.840039
4.02,635.8032484,573.4410116,1116.579764
4.03,635.8380068,573.4528473,1117.313469
4.04,635.8720285,573.4642866,1118.041219
4.05,635.9053291,573.4753374,1118.763077
4.06,635.9379238,573.48601,1119.479104
4.07,635.9698276,573.4963125,1120.189361
4.08,636.0010552,573.5062579,1120.89391
4.09,636.0316208,573.5158567,1121.59281
4.1,636.0615384,573.5251195,1122.286121
4.11,636.0908218,573.534054,1122.973901
4.12,636.1194845,573.5426735,1123.65621
4.13,636.1475395,573.550978,1124.333104
4.14,636.1749997,573.5589805,1125.00464
4.15,636.2018778,573.5666995,1125.670874
4.16,636.228186,573.5741585,1126.331863
4.17,636.2539364,573.5813813,1126.987661
4.18,636.2791409,573.5883835,1127.638322
4.19,636.303811,573.595173,1128.283901
4.2,636.327958,573.6017657,1128.924451
4.21,636.351593,573.6081666,1129.560025
4.22,636.3747269,573.6143864,1130.190674
4.23,636.3973702,573.6204277,1130.816451
4.24,636.4195334,573.6262983,1131.437406
4.25,636.4412266,573.6319957,1132.053589
4.26,636.4624598,573.6375302,1132.665051
4.27,636.4832428,573.6429046,1133.271842
4.28,636.503585,573.6481241,1133.874009
4.29,636.5234959,573.6531913,1134.4716
4.3,636.5429845,573.6581115,1135.064665
4.31,636.5620599,573.662882,1135.65325
4.32,636.5807307,573.6675108,1136.237401
4.33,636.5990055,573.6719899,1136.817166
4.34,636.6168928,573.6763272,1137.392589
4.35,636.6344007,573.6805175,1137.963716
4.36,636.6515373,573.6845608,1138.530591
4.37,636.6683105,573.688457,1139.093259
4.38,636.6847279,573.6922115,1139.651762
4.39,636.7007972,573.6958163,1140.206146
4.4,636.7165256,573.6992793,1140.756452
4.41,636.7319204,573.7026006,1141.302722
4.42,636.7469887,573.7057801,1141.844999
4.43,636.7617374,573.708823,1142.383324
4.44,636.7761733,573.7117373,1142.917737
4.45,636.790303,573.7145204,1143.448279
4.46,636.8041329,573.71718,1143.97499
4.47,636.8176696,573.719711,1144.497909
4.48,636.8309191,573.7221054,1145.017076
4.49,636.8438875,573.7243739,1145.53253
4.5,636.8565809,573.7265373,1146.044308
4.51,636.869005,573.7286114,1146.552448
4.52,636.8811656,573.7306042,1147.056989
4.53,636.8930682,573.7325261,1147.557966
4.54,636.9047184,573.7343797,1148.055416
4.55,636.9161214,573.7361729,1148.549376
4.56,636.9272825,573.7379136,1149.039881
4.57,636.9382068,573.7396018,1149.526967
4.58,636.9488994,573.7412453,1150.010669
4.59,636.9593652,573.7428495,1150.491021
4.6,636.969609,573.7444143,1150.968057
4.61,636.9796355,573.745945,1151.441812
4.62,636.9894492,573.7474441,1151.912319
4.63,636.9990548,573.7489118,1152.37961
4.64,637.0084566,573.7503506,1152.84372
4.65,637.0176589,573.7517605,1153.304679
4.66,637.026666,573.7531415,1153.76252
4.67,637.0354821,573.7544936,1154.217275
4.68,637.0441111,573.7558169,1154.668975
4.69,637.052557,573.7571112,1155.117652
4.7,637.0608238,573.7583767,1155.563334
4.71,637.0689151,573.7596081,1156.006054
4.72,637.0768349,573.7608053,1156.44584
4.73,637.0845866,573.7619684,1156.882723
4.74,637.0921738,573.7630921,1157.316732
4.75,637.0996,573.7641764,1157.747895
4.76,637.1068688,573.7652188,1158.176242
4.77,637.1139833,573.7662138,1158.601801
4.78,637.1209468,573.7671564,1159.024599
4.79,637.1277626,573.7680517,1159.444665
4.8,637.1344338,573.7688997,1159.862026
4.81,637.1409635,573.7697005,1160.276709
4.82,637.1473546,573.770454,1160.688741
4.83,637.1536101,573.7711682,1161.098148
4.84,637.1597329,573.7718429,1161.504957
4.85,637.1657258,573.772473,1161.909193
4.86,637.1715916,573.7730559,1162.310883
4.87,637.1773329,573.7735836,1162.710051
4.88,637.1829524,573.7740536,1163.106723
4.89,637.1884526,573.7744868,1163.500924
4.9,637.1938362,573.7748911,1163.892677
4.91,637.1991055,573.7752692,1164.282009
4.92,637.204263,573.775621,1164.668941
4.93,637.2093111,573.7759492,1165.053499
4.94,637.2142521,573.7762564,1165.435705
4.95,637.2190882,573.7765452,1165.815583
4.96,637.2238218,573.7768182,1166.193157
4.97,637.2284548,573.7770755,1166.568448
4.98,637.2329896,573.7773223,1166.941479
4.99,637.2374282,573.7775586,1167.312272
5,637.2417726,573.777787,1167.68085
5.01,637.2460248,573.7780102,1168.047233
5.02,637.2501868,573.7782307,1168.411445
5.03,637.2542605,573.7784513,1168.773505
5.04,637.2582477,573.7786692,1169.133436
5.05,637.2621503,573.7788871,1169.491257
5.06,637.2659702,573.7791077,1169.84699
5.07,637.2697089,573.7793282,1170.200654
5.08,637.2733684,573.7795514,1170.55227
5.09,637.2769502,573.7797745,1170.901859
5.1,637.280456,573.7800003,1171.249438
5.11,637.2838874,573.7802288,1171.595029
5.12,637.287246,573.7804598,1171.938649
5.13,637.2905333,573.7806961,1172.28032
5.14,637.2937509,573.7809324,1172.620058
5.15,637.2969002,573.7811739,1172.957883
5.16,637.2999826,573.7814129,1173.293814
5.17,637.3029997,573.7816544,1173.627868
5.18,637.3059527,573.7818933,1173.960064
5.19,637.3088431,573.7821322,1174.290418
5.2,637.3116722,573.7823659,1174.618951
5.21,637.3144412,573.7825917,1174.945677
5.22,637.3171515,573.7828149,1175.270615
5.23,637.3198042,573.7830275,1175.593782
5.24,637.3224007,573.7832297,1175.915195
5.25,637.324942,573.783424,1176.23487
5.26,637.3274295,573.7836078,1176.552824
5.27,637.3298641,573.7837811,1176.869073
5.28,637.3322471,573.7839412,1177.183633
5.29,637.3345795,573.7840882,1177.49652
5.3,637.3368625,573.7842221,1177.807751
5.31,637.339097,573.784335,1178.11734
5.32,637.341284,573.7844191,1178.425304
5.33,637.3434247,573.7844873,1178.731656
5.34,637.3455199,573.7845398,1179.036413
5.35,637.3475707,573.7845792,1179.33959
5.36,637.349578,573.7846028,1179.6412
5.37,637.3515427,573.7846133,1179.94126
5.38,637.3534656,573.7846133,1180.239782
5.39,637.3553478,573.7846002,1180.536782
5.4,637.35719,573.7845792,1180.832273
5.41,637.3589932,573.7845477,1181.12627
5.42,637.360758,573.7845083,1181.418785
5.43,637.3624855,573.7844611,1181.709834
5.44,637.3641762,573.7844059,1181.999429
5.45,637.3658311,573.7843482,1182.287584
5.46,637.3674509,573.7842852,1182.574311
5.47,637.3690363,573.7842221,1182.859625
5.48,637.3705881,573.7841539,1183.143536
5.49,637.3721069,573.7840882,1183.42606
5.5,637.3735935,573.78402,1183.707208
5.51,637.3750485,573.7839543,1183.986992
5.52,637.3764727,573.7838913,1184.265424
5.53,637.3778667,573.7838336,1184.542518
5.54,637.379231,573.7837784,1184.818285
5.55,637.3805664,573.7837312,1185.092736
5.56,637.3818735,573.7836892,1185.365885
5.57,637.3831529,573.7836524,1185.637741
5.58,637.3844051,573.7836262,1185.908317
5.59,637.3856307,573.7836051,1186.177624
5.6,637.3868303,573.7835946,1186.445674
5.61,637.3880045,573.7835894,1186.712477
5.62,637.3891537,573.7835973,1186.978044
5.63,637.3902786,573.7836104,1187.242386
5.64,637.3913795,573.783634,1187.505515
5.65,637.3924572,573.7836629,1187.767439
5.66,637.3935119,573.7837023,1188.028171
5.67,637.3945443,573.7837469,1188.28772
5.68,637.3955548,573.7837968,1188.546096
5.69,637.3965438,573.7838519,1188.80331
5.7,637.3975118,573.7839123,1189.059372
5.71,637.3984593,573.7839753,1189.314291
5.72,637.3993867,573.7840436,1189.568077
5.73,637.4002944,573.7841145,1189.820741
5.74,637.4011828,573.784188,1190.07229
5.75,637.4020524,573.7842641,1190.322736
5.76,637.4029035,573.7843377,1190.572086
5.77,637.4037366,573.7844138,1190.820351
5.78,637.404552,573.7844873,1191.06754
5.79,637.4053501,573.7845608,1191.31366
5.8,637.4061312,573.7846317,1191.558722
5.81,637.4068958,573.7846974,1191.802735
5.82,637.4076442,573.7847551,1192.045706
5.83,637.4083766,573.7848076,1192.287644
5.84,637.4090936,573.7848549,1192.528558
5.85,637.4097953,573.7848969,1192.768456
5.86,637.4104821,573.784931,1193.007347
5.87,637.4111543,573.7849625,1193.245239
5.88,637.4118123,573.7849862,1193.482139
5.89,637.4124563,573.7850019,1193.718056
5.9,637.4130867,573.7850124,1193.952997
5.91,637.4137037,573.785015,1194.186972
5.92,637.4143076,573.7850098,1194.419986
5.93,637.4148986,573.7849993,1194.652048
5.94,637.4154771,573.7849809,1194.883165
5.95,637.4160434,573.7849573,1195.113345
5.96,637.4165976,573.7849258,1195.342595
5.97,637.4171401,573.784889,1195.570923
5.98,637.417671,573.7848444,1195.798335
5.99,637.4181907,573.7847971,1196.024839
6,637.4186994,573.7847472,1196.250441
6.01,637.4191973,573.7846921,1196.475149
6.02,637.4196846,573.7846317,1196.69897
6.03,637.4201615,573.7845713,1196.92191
6.04,637.4206284,573.7845109,1197.143975
6.05,637.4210853,573.7844453,1197.365174
6.06,637.4215325,573.7843823,1197.585511
6.07,637.4219703,573.7843193,1197.804994
6.08,637.4223987,573.7842563,1198.023629
6.09,637.4228181,573.7841933,1198.241422
6.1,637.4232285,573.7841329,1198.45838
6.11,637.4236303,573.7840751,1198.674509
6.12,637.4240235,573.78402,1198.889814
6.13,637.4244084,573.7839675,1199.104302
6.14,637.4247851,573.7839202,1199.317979
6.15,637.4251538,573.7838756,1199.53085
6.16,637.4255147,573.7838362,1199.742922
6.17,637.425868,573.7837994,1199.9542
6.18,637.4262137,573.7837679,1200.16469
6.19,637.4265521,573.7837417,1200.374397
6.2,637.4268833,573.7837233,1200.583328
6.21,637.4272075,573.7837075,1200.791487
6.22,637.4275248,573.783697,1200.99888
6.23,637.4278354,573.7836918,1201.205512
6.24,637.4281394,573.7836918,1201.411389
6.25,637.4284369,573.7836944,1201.616516
6.26,637.4287282,573.7837049,1201.820898
6.27,637.4290132,573.7837207,1202.02454
6.28,637.4292922,573.783739,1202.227448
6.29,637.4295653,573.7837627,1202.429625
6.3,637.4298326,573.7837889,1202.631078
6.31,637.4300942,573.7838204,1202.831811
6.32,637.4303502,573.7838546,1203.031829
6.33,637.4306008,573.7838913,1203.231137
6.34,637.4308461,573.7839333,1203.429739
6.35,637.4310862,573.7839753,1203.62764
6.36,637.4313212,573.7840173,1203.824845
6.37,637.4315513,573.7840646,1204.021358
6.38,637.4317764,573.7841119,1204.217185
6.39,637.4319967,573.7841591,1204.412328
6.4,637.4322124,573.7842064,1204.606793
6.41,637.4324235,573.7842536,1204.800585
6.42,637.4326301,573.7843009,1204.993707
6.43,637.4328324,573.7843482,1205.186163
6.44,637.4330303,573.7843954,1205.377959
6.45,637.4332241,573.7844401,1205.569098
6.46,637.4334137,573.7844847,1205.759584
6.47,637.4335993,573.7845267,1205.949421
6.48,637.433781,573.7845661,1206.138614
6.49,637.4339588,573.7846055,1206.327166
6.5,637.4341328,573.7846422,1206.515082
6.51,637.4343032,573.7846764,1206.702365
6.52,637.4344699,573.7847052,1206.889019
6.53,637.4346331,573.7847341,1207.075048
6.54,637.4347929,573.7847577,1207.260456
6.55,637.4349492,573.7847787,1207.445247
6.56,637.4351022,573.7847971,1207.629424
6.57,637.435252,573.7848129,1207.812991
6.58,637.4353986,573.7848234,1207.995951
6.59,637.4355421,573.7848286,1208.178309
6.6,637.4356825,573.7848313,1208.360068
6.61,637.43582,573.7848313,1208.541231
6.62,637.4359545,573.784826,1208.721801
6.63,637.4360862,573.7848181,1208.901783
6.64,637.4362151,573.7848076,1209.08118
6.65,637.4363413,573.7847919,1209.259994
6.66,637.4364648,573.7847709,1209.438231
6.67,637.4365856,573.7847472,1209.615891
6.68,637.4367039,573.784721,1209.79298
6.69,637.4368197,573.7846921,1209.9695
6.7,637.436933,573.7846606,1210.145455
6.71,637.4370439,573.7846265,1210.320847
6.72,637.4371525,573.7845871,1210.49568
6.73,637.4372588,573.7845477,1210.669957
6.74,637.4373628,573.7845057,1210.843681
6.75,637.4374646,573.7844637,1211.016855
6.76,637.4375642,573.7844191,1211.189482
6.77,637.4376618,573.7843718,1211.361566
6.78,637.4377572,573.7843272,1211.533108
6.79,637.4378507,573.7842799,1211.704112
6.8,637.4379421,573.7842326,1211.874582
6.81,637.4380316,573.7841854,1212.044519
6.82,637.4381192,573.7841407,1212.213927
6.83,637.438205,573.7840961,1212.382808
6.84,637.4382889,573.7840515,1212.551166
6.85,637.4383711,573.7840121,1212.719003
6.86,637.4384515,573.7839701,1212.886321
6.87,637.4385302,573.7839333,1213.053125
6.88,637.4386072,573.7838992,1213.219415
6.89,637.4386826,573.7838677,1213.385196
